filename, bus, car, motorcycle, truck
000000347908_jpg.rf.90f993384ab1d36e92a1e10041fc4dad.jpg, 0, 1, 0, 0
000000470364_jpg.rf.90fc148184f4f557f4bb0dc3a64d0350.jpg, 0, 1, 0, 1
000000085589_jpg.rf.90fedf88c0209f12c5df4e43d25dceb0.jpg, 0, 1, 0, 0
000000201664_jpg.rf.91009f52935c2180ec8147d921e0f9b2.jpg, 0, 1, 0, 0
000000149030_jpg.rf.9113044c3d559c6038228ef9cdeb63a5.jpg, 1, 1, 0, 0
000000516224_jpg.rf.911d3b56321113086886d814fb822e41.jpg, 0, 1, 0, 0
000000189951_jpg.rf.911dfaa16ce563d21be926e9dba1af38.jpg, 0, 1, 0, 1
000000031393_jpg.rf.91213f023f595a621a9eb72dbc1bc57a.jpg, 0, 0, 0, 1
000000121769_jpg.rf.912ae37ea8ad7bb50157c1227013d484.jpg, 0, 1, 0, 0
000000263412_jpg.rf.912bebf7d330136b8bd98e707792a32f.jpg, 0, 1, 0, 0
000000351262_jpg.rf.91302960c7e53a492918ed3c016a159a.jpg, 1, 1, 1, 0
000000016599_jpg.rf.9135daeff9a6a73c43109183c63b36e1.jpg, 0, 1, 0, 0
000000469119_jpg.rf.9136169331031c8df08c136d3b99a1c2.jpg, 1, 0, 0, 0
000000308677_jpg.rf.913a9195b52e9f8038940a50d616206b.jpg, 0, 0, 1, 0
000000392180_jpg.rf.90f867793b487e444068c267390985a5.jpg, 1, 1, 0, 0
000000208151_jpg.rf.9108c397f11c35d68e63f23485453cc2.jpg, 0, 0, 0, 1
000000303305_jpg.rf.913d0a50c688eb59d6d601b2cf0efabc.jpg, 1, 1, 0, 0
000000573620_jpg.rf.9140a6bb51700e56feadcc76c19dbd2b.jpg, 0, 1, 0, 0
000000133166_jpg.rf.913977a0aeaf568cd5b4b0924795a4eb.jpg, 0, 1, 1, 1
000000054485_jpg.rf.91451c076ab2afcc525e7c2f4ba0daa1.jpg, 1, 1, 0, 0
000000337886_jpg.rf.91409452f4f60d7a634621ef086d3a01.jpg, 0, 1, 1, 1
000000193261_jpg.rf.91456f66e3fe0838102ce8061bc10a31.jpg, 1, 1, 0, 0
000000419575_jpg.rf.915867149588523ed655cf8d6241dc6e.jpg, 0, 1, 0, 0
000000220390_jpg.rf.915758b0bc72cb7c5db53b8649c33c9e.jpg, 1, 1, 0, 0
000000183554_jpg.rf.916151e8afc60aa9c299fd2e5093fc35.jpg, 1, 1, 0, 0
000000331093_jpg.rf.919a0df859ebc4c6b883efaa68c9eb0a.jpg, 1, 1, 0, 1
000000527557_jpg.rf.917c2519eb4cfeac2165369effc583f0.jpg, 0, 1, 0, 0
000000331785_jpg.rf.91798da9b4cda275e38505932e839129.jpg, 0, 0, 1, 0
000000332097_jpg.rf.91747094485d5b76a13aa1727b122c14.jpg, 0, 1, 0, 1
000000430546_jpg.rf.91a3968fdd212720639c14cea7611c35.jpg, 0, 0, 1, 0
000000151434_jpg.rf.91a0d34e1c99511150d5ae26b6ac0df6.jpg, 0, 0, 1, 0
000000299641_jpg.rf.91a1740b1d62885470b2d774ae358681.jpg, 0, 1, 0, 1
000000210401_jpg.rf.9172798b95fc6c804365f784747c6582.jpg, 0, 0, 1, 0
000000235809_jpg.rf.916231f4749ded59c83f1b015715de2f.jpg, 1, 1, 0, 0
000000295340_jpg.rf.91a3fbcc9404d414d7ae8c9bc400b1fd.jpg, 1, 1, 0, 1
000000263011_jpg.rf.91ac724d11cfc9c76eebd30533051072.jpg, 1, 0, 0, 0
000000295657_jpg.rf.9194c8d9994f7bc787e414f4f5cdee5e.jpg, 0, 0, 0, 1
000000526599_jpg.rf.91acdb6f5a7a2f412ac056804befdece.jpg, 0, 1, 0, 0
000000275380_jpg.rf.91a7d56d46e06667d7adea1836e0b0c2.jpg, 0, 1, 0, 1
000000019185_jpg.rf.91b8dbaf82c28a9e8642f2b827f23579.jpg, 0, 1, 0, 1
000000292986_jpg.rf.91c3599bccd74d823bde471acf315e95.jpg, 0, 1, 0, 1
000000338745_jpg.rf.91cd75c69acc0b1afe80e253f81332e1.jpg, 1, 1, 0, 0
000000200678_jpg.rf.919292237ffe5379400dcec8f320a6d0.jpg, 0, 1, 0, 0
000000433723_jpg.rf.91c23baae642403b81ff080a50d1eee9.jpg, 0, 1, 0, 0
000000193819_jpg.rf.91c3fc82ca2aaa3a0258050f2c45c5f6.jpg, 0, 0, 0, 1
000000366262_jpg.rf.91d2df022ef5178de9975ebad1485943.jpg, 0, 0, 0, 1
000000026362_jpg.rf.91d54b2c3ce7dc3c9f209a2bf7d2a935.jpg, 0, 1, 0, 0
000000450026_jpg.rf.91d561060ca8b4d0e3b1d9ffde087c9b.jpg, 0, 1, 0, 0
000000188522_jpg.rf.91df68433e67dbecee8c7582018ae4d9.jpg, 0, 0, 0, 1
000000042407_jpg.rf.91df0232036820d0df6ab9d4aed04041.jpg, 0, 0, 0, 1
000000258249_jpg.rf.91db9f629eb51d382aee9b529a93111c.jpg, 0, 1, 0, 0
000000068130_jpg.rf.91f83274ab8b59e3f06e9b8c7fff4a62.jpg, 1, 1, 1, 0
000000272049_jpg.rf.91f9bdc1cec3413b12a17f68ecab615e.jpg, 0, 0, 0, 1
000000137407_jpg.rf.91f99c96f4d949554873f215c609713e.jpg, 1, 0, 0, 0
000000485926_jpg.rf.920ff5f086b232d804266e34f497d239.jpg, 0, 1, 0, 0
000000554006_jpg.rf.91d78a50b5863a592cf734d683520cd8.jpg, 0, 1, 0, 1
000000439173_jpg.rf.921d7faddaf21c30c384302f8a3529b9.jpg, 1, 1, 0, 0
000000215563_jpg.rf.921019272503633101330218c631a574.jpg, 0, 1, 0, 0
000000031519_jpg.rf.920c9d29302e4863138313b9aa0f39d0.jpg, 0, 1, 0, 1
000000183293_jpg.rf.921fddcae827cace80806937670a66de.jpg, 0, 1, 0, 1
000000322268_jpg.rf.91f0a82a677efb2d2a452e88fb3520fc.jpg, 0, 1, 0, 1
000000184531_jpg.rf.92382a0dbae6bdce094ccd2de44261b5.jpg, 0, 1, 1, 1
000000478356_jpg.rf.92140322f60c96afc8a1dcfcd42fe5f8.jpg, 0, 0, 0, 1
000000508881_jpg.rf.92101da1fe48148fbef673f895d3a595.jpg, 0, 1, 0, 1
000000203110_jpg.rf.922842d1668feca0ec2ea91b6905f5c5.jpg, 0, 1, 0, 1
000000073496_jpg.rf.922c5b159a23a5c2fa490fff0dbb38cd.jpg, 0, 1, 0, 0
000000412537_jpg.rf.91ff48893a8fb92a36f33203783e45af.jpg, 1, 1, 0, 0
000000068595_jpg.rf.9238da804e9c1041deba40600140ccd8.jpg, 0, 0, 0, 1
