filename,0,Bus,Motorcycle,car,truck
15d882026fea738a_jpg.rf.4da400a369e996b562b4d101d5ed1bbb.jpg,0,0,0,1,1
365_jpg.rf.cf6253c82119fed886fdfe7db404d2fe.jpg,0,0,1,0,0
0e5e1a2cf7ee80a0_jpg.rf.e404fe919a1d0c0abf17d94ccbb923d8.jpg,0,1,0,0,0
-D85575CA-53D0-451F-AAD8-3F9BE76F9E52-png_jpg.rf.5d9c2e8cf4972e22e73aa08565963366.jpg,0,0,0,0,0
a84b64d1282da7fb_jpg.rf.d5461ae46d46d733fd2b7016c20b4f88.jpg,0,1,0,0,0
1ac1cd7543eefb44_jpg.rf.79d5e4e0901bfe8094a2b2e985bae986.jpg,0,0,0,0,0
-F6E6F421-AD9D-48A9-8CF7-07EB7ADEE1AF-png_jpg.rf.f1262a91bc1dc8146d12e47769c17622.jpg,0,0,0,1,0
289_jpg.rf.1b3052b3e84375b1c496d00ec66acd44.jpg,0,0,1,0,0
141_jpg.rf.195b109f9bac3c9fb0dcf92aad5d7bcb.jpg,0,0,1,0,0
-5AF06BED-94B4-4CFE-9682-4D5AB122CE95-png_jpg.rf.3cc5fdb5f08aa44b5e3d00b197734dbd.jpg,0,0,0,1,0
c03540dabbd8858c_jpg.rf.2340f6ee6e36ca7d3e32f9a70ac4014e.jpg,0,1,0,0,0
306_jpg.rf.a646bec98a05156181b03058c40e703e.jpg,0,0,1,0,0
-DD95CFAF-9F07-4A41-BA25-AEDA2106D0E5-png_jpg.rf.01489b6c03a7580e5fb06003c56bd78d.jpg,0,0,0,0,0
Bike-13-_jpeg_jpg.rf.1b9d804500ff8385f518b95441ca3c4f.jpg,0,0,1,0,0
7654aaa60913d6a2_jpg.rf.33ebea293d9bbacd9600bc7380d1c0c6.jpg,0,0,0,1,0
31_jpg.rf.a602d2a7316c98061dadbc4639c2fde8.jpg,0,0,1,0,0
Bike-145-_jpeg_jpg.rf.a94aa243c664407769ee6c888a9f3f66.jpg,0,0,1,0,0
628_jpg.rf.b2be5ea12a5d8843a327f822fa51b562.jpg,0,0,1,0,0
Bike-1226-_jpeg_jpg.rf.35747a4f993b62b961a97118f790f416.jpg,0,0,1,0,0
00b4831b8f1408e6_jpg.rf.5cd30ec144dddb087f1d4ce76f543642.jpg,0,1,0,0,0
Image_013515_jpg.rf.3c9c2f43f0414dfa29c5ac5495b16a24.jpg,0,0,0,0,1
24026e55c127981c_jpg.rf.9b941c5871956991050658e5cdf82734.jpg,0,1,0,1,0
29_jpg.rf.13d1358a50f15eac07f3397395d7deb1.jpg,0,0,1,0,0
Image_013463_jpg.rf.758cbdb28699afaffafe350bf9a65306.jpg,0,0,0,1,1
-26D423C9-C9F8-4CA3-B49E-3664225FB20C-png_jpg.rf.4cf395bb5a665e977c26d295ec9e59fd.jpg,0,0,0,1,0
2nd-picture_jpg.rf.1fc59661c46bf4d775ebe3484cfa7c9e.jpg,0,0,0,0,1
ad4766d5f3124bc8_jpg.rf.491f7bc2fedcc83658c05c6ae21e4f4e.jpg,0,1,0,0,0
375_jpg.rf.a3ba577317226f18d8521e528e1df6f7.jpg,0,0,1,0,0
307_jpg.rf.358a41b69e006b7503ac369f6ecbef4b.jpg,0,0,1,0,0
360_jpg.rf.dd5678e770ba891fc40a8ee24330c08f.jpg,0,0,1,0,0
WhatsApp-Image-2020-07-04-at-18-38-3_jpg.rf.ab51d6295e15b746343f1cb180967448.jpg,0,0,0,0,1
4d1ca372d780c875_jpg.rf.6a400ff8a8e84c5a8b2f0dc962e55b02.jpg,0,1,0,0,0
202012096919255_jpg.rf.32dd423b60bdcd5e05487dcaeaf12670.jpg,0,0,0,0,1
Bike-1301-_jpeg_jpg.rf.a2a85ed928cb978a32497f9f285e75bf.jpg,0,0,1,0,0
-398D11E1-12E9-4FE1-83DA-198B0C1A0D9D-png_jpg.rf.637af5962709b986de24ea7195ca8f24.jpg,0,0,0,1,0
Bike-795-_jpeg_jpg.rf.81080f3169ced8cbd488e4992de015b7.jpg,0,0,1,0,0
271_jpg.rf.61d0a623e9a15abaaef79432f2526808.jpg,0,0,1,0,0
Bike-216-_jpeg_jpg.rf.8d48b1466a9b5be8a7933fe496d8aabe.jpg,0,0,1,0,0
Bike-1148-_jpeg_jpg.rf.a04408bc5b684eed4ccea122ed605d6e.jpg,0,0,1,0,0
-DE7261E4-D7F8-41FB-BE0C-8C4DF0B0EF9B-png_jpg.rf.8aaa3f9a6dec22f91558f487a8d96329.jpg,0,0,0,1,0
Image_013558_jpg.rf.14a9af0fd32e9c07534b4a593a383d0c.jpg,0,0,0,0,1
241_jpg.rf.115542504f5363a5b45772f69f17de53.jpg,0,0,1,0,0
0d829bbd335fe81c_jpg.rf.b1c064fffcc95010b1840fdcca2dfa8b.jpg,0,1,0,0,0
374_jpg.rf.683bb485911c425714aa9c3916be001c.jpg,0,0,1,0,0
-BE444330-6708-4396-A543-1D9380EE1763-png_jpg.rf.aba40f057fc93e484720c9631c408fc9.jpg,0,0,0,1,0
565_jpg.rf.ac065feac322e74b3a5d3332552d6bbb.jpg,0,0,1,0,0
-618A0E4F-DFF5-4624-B30C-9F657BE51772-png_jpg.rf.dc50eefdc944eab7d56501b8b73e58e0.jpg,0,0,0,0,0
-2088E07B-6C63-4BE9-88C8-F7101EF0F6A5-png_jpg.rf.89706930c740617f3ed790a0f5371f27.jpg,0,0,0,1,0
0f7fdadc09c3b2d1_jpg.rf.7362cfc78d533cd1998f853c0c8969ab.jpg,0,1,0,0,0
1f7c87784ca0063e_jpg.rf.4607d8651221d6ee77a5daf0b2487a13.jpg,0,1,0,0,0
-BE412F80-6FDD-4522-8C6B-D26DA55927F5-png_jpg.rf.088377fdd998a137834af14e4c08b083.jpg,0,0,0,0,0
a9fe3d2f48686f41_jpg.rf.77a59a98c882688efb4a3fc54e82e964.jpg,0,1,0,0,0
154_jpg.rf.68879dc53af474a37158d79b3e6c73e2.jpg,0,0,1,0,0
9eb47e708593623d_jpg.rf.875cfc0604ad863e46044806a96a3844.jpg,0,0,0,1,0
1_1618985037607fc04d9adc8_jpeg_jpg.rf.3359703a8a7c15c761acf77df7b12026.jpg,0,0,0,0,1
-772CD519-4BDF-4DA7-82A8-4F9838D0A100-png_jpg.rf.845c80a5bf44fae69092d2cce1143cf8.jpg,0,0,0,1,0
0b9c420d63a71eac_jpg.rf.9def2cea669d6b1027c2d1a7b2cce1e8.jpg,0,1,0,0,0
bus-82_jpg.rf.6d676ca393c316b43921639c4a694a8f.jpg,0,1,0,0,0
7706ad9c064034ca_jpg.rf.ae19acb09ad638290d1c961770616130.jpg,0,1,0,0,0
-82085ACB-2BE5-447D-89D7-913E7BEDC54D-png_jpg.rf.0a28a1002380305c494df06af1f07566.jpg,0,0,0,1,0
